date,supermarket,category,actual_prices,forecasted_prices,min_expected_price,max_expected_price
2024-04-01,ASDA,fresh_food,2.9619918504314477,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-04-02,ASDA,fresh_food,3.125900747790619,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-04-03,ASDA,fresh_food,2.9340654324118693,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-04-04,ASDA,fresh_food,2.8902981651376147,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-04-05,ASDA,fresh_food,3.2968835616438357,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-04-06,ASDA,fresh_food,3.198133299924831,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-04-07,ASDA,fresh_food,3.0460079051383397,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-04-08,ASDA,fresh_food,2.9180756501182032,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-04-09,ASDA,fresh_food,2.919247524752475,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-04-10,ASDA,fresh_food,3.040950552088334,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-04-11,ASDA,fresh_food,2.920694242864054,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-04-12,ASDA,fresh_food,2.848052413793104,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-04-13,ASDA,fresh_food,3.0656094557990645,3.0015625441719007,2.6406887508746815,3.36243633746912
2024-03-29,Morrisons,food_cupboard,2.264215511079342,2.2908553373203233,2.1292267142702577,2.452483960370389
2024-03-30,Morrisons,food_cupboard,2.2839337175792505,2.2879974406916386,2.123018734767477,2.4529761466158
2024-03-31,Morrisons,food_cupboard,2.2903270856302833,2.2879974406916386,2.123018734767477,2.4529761466158
2024-04-01,Morrisons,food_cupboard,2.228992066354129,2.2879974406916386,2.123018734767477,2.4529761466158
2024-04-02,Morrisons,food_cupboard,2.2254589285714284,2.2879974406916386,2.123018734767477,2.4529761466158
2024-04-03,Morrisons,food_cupboard,2.222297517666244,2.2879974406916386,2.123018734767477,2.4529761466158
2024-04-04,Morrisons,food_cupboard,2.2222831215970964,2.2879974406916386,2.123018734767477,2.4529761466158
2024-04-05,Morrisons,food_cupboard,2.221956399173088,2.2879974406916386,2.123018734767477,2.4529761466158
2024-04-06,Morrisons,food_cupboard,2.2258564467766115,2.2879974406916386,2.123018734767477,2.4529761466158
2024-04-07,Morrisons,food_cupboard,2.195147774036663,2.2879974406916386,2.123018734767477,2.4529761466158
2024-04-08,Morrisons,food_cupboard,2.1972215930539827,2.2879974406916386,2.123018734767477,2.4529761466158
2024-04-09,Morrisons,food_cupboard,2.198090993500464,2.2879974406916386,2.123018734767477,2.4529761466158
2024-04-10,Morrisons,food_cupboard,2.4669450317124735,2.2879974406916386,2.123018734767477,2.4529761466158
2024-04-11,Morrisons,food_cupboard,2.2426046006158304,2.2879974406916386,2.123018734767477,2.4529761466158
2024-04-12,Morrisons,food_cupboard,2.231102900424903,2.2879974406916386,2.123018734767477,2.4529761466158
2024-04-13,Morrisons,food_cupboard,2.244176677139161,2.2879974406916386,2.123018734767477,2.4529761466158
2024-03-29,Morrisons,health_products,6.098972439605308,6.453257877490205,5.802121697494021,7.104394057486388
2024-03-30,Morrisons,health_products,6.155292022792024,6.538076686723258,5.867277970643728,7.208875402802788
2024-03-31,Morrisons,health_products,6.209835706462213,6.559077936667167,5.887092497649525,7.231063375684809
2024-04-01,Morrisons,health_products,6.166737687740133,6.564277874077213,5.892219749498955,7.236335998655471
2024-04-02,Morrisons,health_products,6.103711233631978,6.565565385493944,5.893502805080035,7.237627965907852
2024-04-03,Morrisons,health_products,6.241705710102489,6.565884175032643,5.893821321448371,7.237947028616915
2024-04-04,Morrisons,health_products,6.277888766922796,6.565963107746297,5.8939002374149325,7.238025978077662
2024-04-05,Morrisons,health_products,6.151244413887935,6.56598265159115,5.89391978023308,7.2380455229492195
2024-04-06,Morrisons,health_products,6.155509915014164,6.5659874906731215,5.893924619252108,7.2380503620941345
2024-04-07,Morrisons,health_products,6.199841669665347,6.565988688836252,5.893925817411381,7.238051560261123
2024-04-08,Morrisons,health_products,6.166958689458689,6.5659889855030364,5.893926114077928,7.238051856928145
2024-04-09,Morrisons,health_products,6.093033938978403,6.5659890589581265,5.893926187533004,7.238051930383249
2024-04-10,Morrisons,health_products,5.492111334002006,6.565989077145704,5.893926205720581,7.238051948570828
2024-04-11,Morrisons,health_products,6.182399293286219,6.565989081648973,5.893926210223849,7.2380519530740965
2024-04-12,Morrisons,health_products,6.140333333333333,6.565989082763988,5.893926211338864,7.238051954189111
2024-04-13,Morrisons,health_products,6.22695636494771,6.565989083040067,5.893926211614944,7.238051954465191
2024-03-29,Morrisons,fresh_food,2.5753532608695653,2.6147840756242444,2.4938472698381546,2.735720881410334
2024-03-30,Morrisons,fresh_food,2.560555789473684,2.6147840756242444,2.4938472698381546,2.735720881410334
2024-03-31,Morrisons,fresh_food,2.5677511415525114,2.6147840756242444,2.4938472698381546,2.735720881410334
2024-04-01,Morrisons,fresh_food,2.635919468659195,2.6147840756242444,2.4938472698381546,2.735720881410334
2024-04-02,Morrisons,fresh_food,2.6327632687447347,2.6147840756242444,2.4938472698381546,2.735720881410334
2024-04-03,Morrisons,fresh_food,2.64176399026764,2.6147840756242444,2.4938472698381546,2.735720881410334
2024-04-04,Morrisons,fresh_food,2.6595955725840783,2.6147840756242444,2.4938472698381546,2.735720881410334
2024-04-05,Morrisons,fresh_food,2.6391564222128023,2.6147840756242444,2.4938472698381546,2.735720881410334
2024-04-06,Morrisons,fresh_food,2.621800965466023,2.6147840756242444,2.4938472698381546,2.735720881410334
2024-04-07,Morrisons,fresh_food,2.639015088013412,2.6147840756242444,2.4938472698381546,2.735720881410334
2024-04-08,Morrisons,fresh_food,2.634970930232558,2.6147840756242444,2.4938472698381546,2.735720881410334
2024-04-09,Morrisons,fresh_food,2.6085115224782776,2.6147840756242444,2.4938472698381546,2.735720881410334
2024-04-10,Morrisons,fresh_food,2.4503945885005636,2.6147840756242444,2.4938472698381546,2.735720881410334
2024-04-11,Morrisons,fresh_food,2.6369632265717677,2.6147840756242444,2.4938472698381546,2.735720881410334
2024-04-12,Morrisons,fresh_food,2.651275167785235,2.6147840756242444,2.4938472698381546,2.735720881410334
2024-04-13,Morrisons,fresh_food,2.6223436885568225,2.6147840756242444,2.4938472698381546,2.735720881410334
2024-03-25,Sains,food_cupboard,2.3494338757735505,2.3099478822173793,2.1832735297804913,2.4366222346542674
2024-03-26,Sains,food_cupboard,2.334041208147975,2.3219452918934578,2.190270486931941,2.4536200968549746
2024-03-27,Sains,food_cupboard,2.3442992841409693,2.32921975267015,2.197023790507777,2.4614157148325226
2024-03-28,Sains,food_cupboard,2.2205465587044535,2.34807293570246,2.21578017115574,2.4803657002491803
2024-03-29,Sains,food_cupboard,2.347031212194532,2.354405883848454,2.222076870426566,2.486734897270342
2024-03-30,Sains,food_cupboard,2.136174294327213,2.3538307777924175,2.2214779331287913,2.4861836224560436
2024-03-31,Sains,food_cupboard,2.09260529986053,2.449766482893483,2.3173928423324957,2.58214012345447
2024-04-01,Sains,food_cupboard,2.3004661804661803,2.387672224090423,2.2452266645531047,2.530117783627741
2024-04-02,Sains,food_cupboard,2.088407475651487,2.372237359748665,2.2292395354160504,2.515235184081279
2024-04-03,Sains,food_cupboard,2.3190754560530684,2.3691831203677958,2.2261771470296674,2.512189093705924
2024-04-04,Sains,food_cupboard,2.3016239316239315,2.369413961648428,2.226411657733484,2.5124162655633726
2024-04-05,Sains,food_cupboard,2.0990664514393327,2.3705164677268122,2.2275116566793107,2.5135212787743137
2024-04-06,Sains,food_cupboard,2.098469387755102,2.3718502617393233,2.228840649139189,2.5148598743394577
2024-04-07,Sains,food_cupboard,2.3245535211267607,2.373245425797534,2.2302303568608584,2.5162604947342095
2024-04-08,Sains,food_cupboard,2.3101504513540623,2.3746568738116,2.2316361717206212,2.5176775759025785
2024-04-09,Sains,food_cupboard,2.297744854105406,2.376072642617923,2.2330462603954704,2.5190990248403757
2024-04-10,Sains,food_cupboard,2.337654623392529,2.37748955790523,2.234457483237454,2.5205216325730064
2024-04-11,Sains,food_cupboard,2.3098754113775266,2.3789067774003234,2.235869007185548,2.521944547615099
2024-04-12,Sains,food_cupboard,2.0816922219124616,2.3803240776140493,2.237280611195898,2.5233675440322005
2024-04-13,Sains,food_cupboard,2.343671117357695,2.3817413992456937,2.238692236616656,2.5247905618747315
2024-03-25,Sains,health_products,7.720410371199404,7.765589923441357,7.657926582338544,7.873253264544169
2024-03-26,Sains,health_products,7.689622024350354,7.789860796394029,7.668095857296395,7.911625735491663
2024-03-27,Sains,health_products,7.899002236366765,7.791938833309163,7.657543871463561,7.926333795154765
2024-03-28,Sains,health_products,7.980573959255978,7.785025696608554,7.63908971356972,7.930961679647388
2024-03-29,Sains,health_products,7.841696360879454,7.805369043430618,7.648740130002921,7.961997956858315
2024-03-30,Sains,health_products,7.730803773584906,7.809329477572226,7.642692380022489,7.975966575121963
2024-03-31,Sains,health_products,7.665981467473525,7.774433105543556,7.598355771629669,7.950510439457443
2024-04-01,Sains,health_products,7.9082806289960255,7.787897531264323,7.6107993103891,7.964995752139546
2024-04-02,Sains,health_products,7.70902199266911,7.787897531264323,7.607003832797289,7.968791229731358
2024-04-03,Sains,health_products,7.723115493899382,7.787897531264323,7.603286371111433,7.972508691417214
2024-04-04,Sains,health_products,7.573698681732579,7.787897531264323,7.59964230355229,7.976152758976356
2024-04-05,Sains,health_products,7.638583765112263,7.787897531264323,7.596067447417126,7.97972761511152
2024-04-06,Sains,health_products,7.653160852713178,7.787897531264323,7.592558002810054,7.983237059718593
2024-04-07,Sains,health_products,7.618066590995081,7.787897531264323,7.589110505317835,7.986684557210811
2024-04-08,Sains,health_products,7.755068541300527,7.787897531264323,7.585721785952075,7.990073276576571
2024-04-09,Sains,health_products,7.640557240333586,7.787897531264323,7.582388937038981,7.993406125489665
2024-04-10,Sains,health_products,7.636542832909245,7.787897531264323,7.579109283011722,7.996685779516924
2024-04-11,Sains,health_products,7.575493333333332,7.787897531264323,7.575880355270718,7.999914707257928
2024-04-12,Sains,health_products,7.549305711086226,7.787897531264323,7.572699870440102,8.003095192088544
2024-04-13,Sains,health_products,7.595164561806353,7.787897531264323,7.569565711475888,8.00622935105276
2024-03-25,Sains,fresh_food,3.1202946878635127,2.954548608735911,2.8513253091672772,3.0577719083045447
2024-03-26,Sains,fresh_food,2.9200262209111765,2.9980518192586496,2.8947747475851777,3.1013288909321215
2024-03-27,Sains,fresh_food,2.9368118237001846,2.9451273673396767,2.8410167333311405,3.049238001348213
2024-03-28,Sains,fresh_food,2.994775888717156,2.9160524569584423,2.811779521226193,3.0203253926906917
2024-03-29,Sains,fresh_food,2.9608971061093246,3.0308479571104985,2.9248607767952417,3.1368351374257553
2024-03-30,Sains,fresh_food,2.97118321979204,3.0230707770062244,2.916644367872201,3.129497186140248
2024-03-31,Sains,fresh_food,2.952422176104358,2.961711199065926,2.854420870514663,3.069001527617189
2024-04-01,Sains,fresh_food,2.9609216192937122,2.9647382224813885,2.848766663505922,3.080709781456855
2024-04-02,Sains,fresh_food,3.0573538255930504,2.978186939320834,2.861402502359484,3.094971376282184
2024-04-03,Sains,fresh_food,2.9763683589138137,2.9704473732856123,2.853672147088249,3.0872225994829754
2024-04-04,Sains,fresh_food,2.9942876854087617,2.9723769465393937,2.8553507561664264,3.089403136912361
2024-04-05,Sains,fresh_food,3.0000387897595036,2.971482701100065,2.8543898550697153,3.088575547130415
2024-04-06,Sains,fresh_food,2.8443615844213324,2.97481783507464,2.8576390232355666,3.0919966469137132
2024-04-07,Sains,fresh_food,2.948958742632613,2.972836331147011,2.8556389848807635,3.090033677413259
2024-04-08,Sains,fresh_food,2.9710248829761023,2.9758857144876756,2.858596954010741,3.09317447496461
2024-04-09,Sains,fresh_food,3.0106870229007634,2.9746202674662676,2.8573096381157344,3.091930896816801
2024-04-10,Sains,fresh_food,2.8191276781810233,2.9773010385278145,2.8599137348123866,3.0946883422432423
2024-04-11,Sains,fresh_food,3.08088347826087,2.9762639831712887,2.858852408865925,3.0936755574766526
2024-04-12,Sains,fresh_food,2.879922090977632,2.9787139274191397,2.861229530445752,3.0961983243925273
2024-04-13,Sains,fresh_food,2.9424883177570096,2.9779314909146977,2.860420474045916,3.0954425077834795
2024-03-25,Tesco,food_cupboard,2.163682846778373,2.1650312484439165,2.137062676946137,2.192999819941696
2024-03-26,Tesco,food_cupboard,2.134309606363451,2.1676205370897303,2.136920609160813,2.198320465018648
2024-03-27,Tesco,food_cupboard,2.1122140077821014,2.170590576049567,2.13749557159376,2.203685580505374
2024-03-28,Tesco,food_cupboard,2.1014731467473524,2.1730174454878695,2.1384154703059943,2.2076194206697446
2024-03-29,Tesco,food_cupboard,2.0783968221633735,2.175000481855477,2.139427856597843,2.2105731071131114
2024-03-30,Tesco,food_cupboard,2.146408636124276,2.176620854658888,2.140414630115272,2.2128270792025035
2024-03-31,Tesco,food_cupboard,2.0715205133190744,2.1779448888848467,2.141321724839864,2.2145680529298293
2024-04-01,Tesco,food_cupboard,2.0667636621717533,2.179026779810083,2.1421278563115935,2.2159257033085726
2024-04-02,Tesco,food_cupboard,2.074125266146203,2.179910811318605,2.142828910355675,2.2169927122815354
2024-04-03,Tesco,food_cupboard,2.066298550205835,2.1806331685265548,2.143429598148189,2.2178367389049205
2024-04-04,Tesco,food_cupboard,2.0669622742714107,2.1812234189088615,2.1439388333107297,2.2185080045069934
2024-04-05,Tesco,food_cupboard,2.0839416189111746,2.181705722553069,2.1443671425571385,2.2190443025489994
